Id, GPSTimeStamp, Lon, Lat, O2 Concentration [micromolar], O2 Saturation [%], Bb(470) [NTU], Bb(532) [NTU], Bb(650) [NTU], CDOM [QSU], Chl. a [ppb], Phycocyanin [ppb]
277512, 2021-04-08 23:45:07, -80.943504, 26.935425, 244.96, 93.97, 31.486, 29.865, 38.331, 148.74, 13.17, 5.03
277511, 2021-04-08 23:30:04, -80.942719, 26.929604, 246.53, 95.32, 31.728, 30.107, 38.331, 146.78, 12.66, 3.65
277510, 2021-04-08 23:14:16, -80.94207, 26.92486, 249.79, 97.81, 31.244, 29.379, 37.603, 146.53, 12.57, 5.71
277509, 2021-04-08 23:03:52, -80.941521, 26.921949, 251, 98.22, 31.002, 29.136, 37.118, 146.90, 12.62, 4.45
277508, 2021-04-08 23:03:31, -80.941505, 26.921856, 251, 98.22, 31.002, 29.136, 37.118, 146.90, 12.62, 4.45
277507, 2021-04-08 23:03:11, -80.94149, 26.921774, 251, 98.51, 31.002, 29.379, 37.361, 147.82, 12.43, 3.87
277506, 2021-04-08 23:02:51, -80.941467, 26.921686, 251, 98.51, 31.002, 29.379, 37.361, 147.82, 12.43, 3.87
277505, 2021-04-08 23:02:30, -80.941437, 26.921597, 251.51, 98.8, 31.002, 29.136, 37.361, 146.29, 12.63, 4.40
277504, 2021-04-08 23:02:09, -80.941414, 26.921495, 251.51, 98.8, 31.002, 29.136, 37.361, 146.29, 12.63, 4.40
277503, 2021-04-08 22:59:09, -80.941223, 26.920683, 251.4, 98.91, 31.002, 28.893, 36.875, 146.87, 12.22, 4.31
277502, 2021-04-08 22:44:11, -80.940407, 26.916719, 252.09, 99.47, 30.760, 28.893, 36.633, 145.27, 13.20, 4.53
277501, 2021-04-08 22:36:39, -80.939888, 26.914734, 252.55, 99.5, 30.517, 29.136, 36.633, 146.60, 12.72, 4.25
277500, 2021-04-08 22:36:18, -80.93985, 26.914644, 252.55, 99.5, 30.517, 29.136, 36.633, 146.60, 12.72, 4.25
277499, 2021-04-08 22:35:59, -80.939835, 26.914564, 252.56, 99.44, 30.517, 28.651, 36.390, 146.93, 14.22, 4.40
277498, 2021-04-08 22:35:38, -80.939819, 26.914484, 252.56, 99.44, 30.517, 28.651, 36.390, 146.93, 14.22, 4.40
277497, 2021-04-08 22:35:17, -80.939796, 26.914387, 252.56, 99.44, 30.517, 28.651, 36.390, 146.93, 14.22, 4.40
277496, 2021-04-08 22:34:56, -80.939774, 26.914297, 252.42, 99.49, 30.517, 28.651, 36.390, 147.41, 13.60, 4.29
277495, 2021-04-08 22:34:35, -80.939751, 26.914204, 252.16, 99.17, 30.275, 28.651, 36.390, 147.81, 13.01, 4.58
277494, 2021-04-08 22:34:16, -80.939728, 26.914112, 252.16, 99.17, 30.275, 28.651, 36.390, 147.81, 13.01, 4.58
277493, 2021-04-08 22:33:55, -80.939705, 26.914015, 252.16, 99.17, 30.275, 28.651, 36.390, 147.81, 13.01, 4.58
277492, 2021-04-08 22:33:31, -80.93969, 26.913908, 252.74, 99.76, 30.517, 28.651, 36.390, 146.67, 12.97, 6.41
277491, 2021-04-08 22:33:14, -80.939667, 26.913836, 252.74, 99.76, 30.517, 28.651, 36.390, 146.67, 12.97, 6.41
277490, 2021-04-08 22:32:53, -80.939651, 26.913748, 252.74, 99.76, 30.517, 28.651, 36.390, 146.67, 12.97, 6.41
277489, 2021-04-08 22:32:33, -80.939598, 26.913668, 252.74, 99.72, 30.517, 28.651, 36.390, 145.42, 12.80, 4.69
277488, 2021-04-08 22:32:12, -80.939575, 26.91358, 252.74, 99.72, 30.517, 28.651, 36.390, 145.42, 12.80, 4.69
277487, 2021-04-08 22:31:53, -80.939529, 26.913507, 252.76, 99.82, 30.517, 28.651, 36.390, 145.99, 13.25, 4.73
277486, 2021-04-08 22:31:32, -80.939514, 26.913429, 252.76, 99.82, 30.517, 28.651, 36.390, 145.99, 13.25, 4.73
277485, 2021-04-08 22:31:11, -80.939468, 26.913332, 252.76, 99.82, 30.517, 28.651, 36.390, 145.99, 13.25, 4.73
277484, 2021-04-08 22:30:50, -80.939453, 26.913244, 252.93, 99.71, 30.275, 28.651, 36.390, 145.89, 13.03, 5.17
277483, 2021-04-08 22:30:26, -80.939407, 26.913128, 252.93, 99.71, 30.275, 28.651, 36.390, 145.89, 13.03, 5.17
277482, 2021-04-08 22:30:10, -80.9394, 26.913073, , , , , , , , 
277481, 2021-04-08 22:30:10, -80.9394, 26.913073, 252.93, 99.71, 30.275, 28.651, 36.390, 145.89, 13.03, 5.17
277480, 2021-04-08 22:29:49, -80.939377, 26.913002, 253.02, 99.96, 30.517, 28.651, 36.390, 146.37, 13.24, 4.25
277479, 2021-04-08 22:29:28, -80.939369, 26.912939, 253.01, 99.94, 30.517, 28.651, 36.390, 147.43, 13.31, 4.22
277478, 2021-04-08 22:29:08, -80.939354, 26.912878, 253.01, 99.94, 30.517, 28.651, 36.390, 147.43, 13.31, 4.22
277477, 2021-04-08 22:28:47, -80.939331, 26.912806, 253.01, 99.94, 30.517, 28.651, 36.390, 147.43, 13.31, 4.22
277476, 2021-04-08 22:28:26, -80.939301, 26.912743, 252.9, 99.84, 30.517, 28.651, 36.390, 145.57, 14.12, 3.29
277475, 2021-04-08 22:28:05, -80.939285, 26.912672, 252.9, 99.84, 30.517, 28.651, 36.390, 145.57, 14.12, 3.29
277474, 2021-04-08 22:27:46, -80.93927, 26.912607, 252.9, 99.84, 30.517, 28.651, 36.390, 145.57, 14.12, 3.29
277473, 2021-04-08 22:27:25, -80.939262, 26.912527, 252.93, 99.81, 30.517, 28.408, 36.390, 146.23, 13.20, 5.64
277472, 2021-04-08 22:27:05, -80.939247, 26.91246, 253.01, 99.96, 30.517, 28.893, 36.390, 145.16, 13.14, 3.76
