Id, GPSTimeStamp, Lon, Lat, O2 Concentration [micromolar], O2 Saturation [%], Bb(470) [NTU], Bb(532) [NTU], Bb(650) [NTU], CDOM [QSU], Chl. a [ppb], Phycocyanin [ppb]
73771, 2020-12-17 21:29:22, -80.801826, 27.217241, 205.2, 75.15, , , , -0.94, 340.30, 204.85
73770, 2020-12-17 21:25:44, -80.801849, 27.217232, 201.66, 73.81, , , , 0.99, 341.34, 191.68
73769, 2020-12-17 21:25:25, -80.801857, 27.217228, 197.33, 72.27, , , , -0.99, 338.22, 166.59
73768, 2020-12-17 21:23:44, -80.801933, 27.21718, 201.7, 73.72, , , , 0.00, 336.91, 170.52
73767, 2020-12-17 21:19:45, -80.801933, 27.217199, 211.1, 77.24, , , , 0.97, 339.04, 163.66
73766, 2020-12-17 21:16:05, -80.799797, 27.217163, 221.05, 80.83, , , , 0.43, 340.58, 172.92
73765, 2020-12-17 21:11:31, -80.799026, 27.214338, 221.11, 80.62, , , , 1.07, 339.59, 176.35
73764, 2020-12-17 21:10:27, -80.799187, 27.213415, 226.81, 82.76, , , , 0.89, 339.59, 198.59
73763, 2020-12-17 21:07:33, -80.798622, 27.211082, 212.87, 77.62, , , , 0.75, 328.54, 174.39
73762, 2020-12-17 21:03:57, -80.797752, 27.208347, 213.57, 78.25, , , , -0.16, 284.72, 148.03
73761, 2020-12-17 20:59:52, -80.797417, 27.207125, 198.84, 73.53, , , , -3.22, 158.80, 62.20
73760, 2020-12-17 20:55:52, -80.797401, 27.207136, 198.64, 73.44, , , , -3.03, 157.96, 57.05
73759, 2020-12-17 20:55:26, -80.797386, 27.207136, , , , , , , , 
73758, 2020-12-17 20:55:26, -80.797386, 27.207136, 198.88, 73.52, , , , -3.26, 158.35, 55.91
73757, 2020-12-17 20:52:12, -80.797264, 27.206757, 199.42, 73.74, , , , -3.05, 154.52, 50.91
73756, 2020-12-17 20:48:28, -80.796585, 27.204285, 220.76, 81.9, , , , -2.66, 150.60, 59.33
73755, 2020-12-17 20:44:50, -80.795898, 27.201277, 241.63, 89.03, , , , -3.24, 140.42, 51.71
73754, 2020-12-17 20:43:49, -80.79557, 27.200438, 242.34, 89.17, , , , -1.61, 139.36, 52.46
73753, 2020-12-17 20:41:47, -80.79493, 27.198725, 242.94, 89.1, , , , -1.85, 141.17, 50.66
73752, 2020-12-17 20:40:23, -80.794281, 27.197638, 241.92, 88.28, , , , -3.88, 137.46, 41.14
73751, 2020-12-17 20:38:00, -80.793106, 27.196089, 241.83, 87.98, , , , -3.77, 132.33, 39.89
73750, 2020-12-17 20:33:52, -80.790634, 27.193607, 241.19, 87.33, , , , -3.95, 118.85, 39.08
73749, 2020-12-17 20:29:55, -80.788338, 27.190872, 243.64, 88.4, , , , -4.10, 108.37, 33.03
73748, 2020-12-17 20:26:14, -80.786652, 27.188452, 249.91, 91.06, , , , -3.18, 120.69, 38.74
73747, 2020-12-17 20:25:25, -80.786095, 27.188028, 251.42, 91.63, , , , -4.10, 121.82, 40.97
73746, 2020-12-17 20:25:15, -80.786018, 27.187943, 251.42, 91.63, , , , -4.10, 121.82, 40.97
73745, 2020-12-17 20:21:34, -80.785355, 27.186775, 251.64, 91.67, , , , -3.05, 120.91, 39.87
73744, 2020-12-17 20:17:57, -80.786705, 27.186935, , , , , , , , 
73743, 2020-12-17 20:17:57, -80.786705, 27.186935, 248.42, 90.38, , , , -3.50, 122.54, 40.78
73742, 2020-12-17 20:16:55, -80.787285, 27.187325, 248.18, 90.2, , , , -3.84, 121.20, 41.87
73741, 2020-12-17 20:13:15, -80.789268, 27.188507, 248.21, 89.85, , , , -3.17, 125.10, 41.29
73740, 2020-12-17 20:12:14, -80.78981, 27.188805, 247.55, 89.54, , , , -2.56, 126.59, 40.98
73739, 2020-12-17 20:11:13, -80.790314, 27.189041, 246.43, 89.07, , , , -3.24, 126.38, 41.52
73738, 2020-12-17 20:10:24, -80.790611, 27.18895, 246.39, 89.04, , , , -3.90, 126.77, 42.08
73737, 2020-12-17 20:10:13, -80.790649, 27.188877, 246.39, 89.04, , , , -3.90, 126.77, 42.08
73736, 2020-12-17 20:06:37, -80.790779, 27.188236, 247.23, 89.31, , , , -3.49, 127.43, 44.26
73735, 2020-12-17 20:02:36, -80.789574, 27.188433, 248.83, 90.1, , , , -3.35, 124.09, 42.81
73734, 2020-12-17 19:59:17, -80.788399, 27.188728, 247.92, 90.03, , , , -3.08, 122.60, 43.00
73733, 2020-12-17 19:56:02, -80.78775, 27.188929, 248.36, 90.42, , , , -3.14, 121.34, 43.04
73732, 2020-12-17 19:55:26, -80.787506, 27.188972, 248.35, 90.48, , , , -3.99, 121.36, 41.53
73731, 2020-12-17 19:52:25, -80.786873, 27.188915, 249.7, 91.06, , , , -3.70, 121.05, 42.03
73730, 2020-12-17 19:48:22, -80.787216, 27.188059, 249.35, 90.86, , , , -4.15, 122.09, 42.31
73729, 2020-12-17 19:44:44, -80.78756, 27.186888, 249.16, 90.6, , , , -3.13, 120.87, 42.15
73728, 2020-12-17 19:41:07, -80.787666, 27.185495, 251.82, 91.39, , , , -3.03, 121.81, 44.54
73727, 2020-12-17 19:40:24, -80.787682, 27.185318, 251.2, 91.13, , , , -2.99, 121.86, 43.11
