Id, GPSTimeStamp, Lon, Lat, O2 Concentration [micromolar], O2 Saturation [%], Bb(470) [NTU], Bb(532) [NTU], Bb(650) [NTU], CDOM [QSU], Chl. a [ppb], Phycocyanin [ppb]
102993, 2020-12-30 23:59:28, -80.802025, 27.217388, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102992, 2020-12-30 23:59:19, -80.802025, 27.21739, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102991, 2020-12-30 23:59:06, -80.802017, 27.217392, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102990, 2020-12-30 23:58:54, -80.802017, 27.217396, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102989, 2020-12-30 23:58:48, -80.802017, 27.217398, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102988, 2020-12-30 23:58:35, -80.802017, 27.217403, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102987, 2020-12-30 23:58:26, -80.802025, 27.217403, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102986, 2020-12-30 23:58:16, -80.802025, 27.217403, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102985, 2020-12-30 23:58:06, -80.802032, 27.217403, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102984, 2020-12-30 23:57:54, -80.802032, 27.217403, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102983, 2020-12-30 23:57:42, -80.80204, 27.217402, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102982, 2020-12-30 23:57:35, -80.80204, 27.217402, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102981, 2020-12-30 23:57:23, -80.80204, 27.217402, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102980, 2020-12-30 23:57:13, -80.80204, 27.217398, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102979, 2020-12-30 23:57:01, -80.80204, 27.217396, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102978, 2020-12-30 23:56:51, -80.80204, 27.217396, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102977, 2020-12-30 23:56:38, -80.80204, 27.217396, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102976, 2020-12-30 23:56:29, -80.802048, 27.217392, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102975, 2020-12-30 23:56:20, -80.80204, 27.217392, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102974, 2020-12-30 23:56:08, -80.80204, 27.217388, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102973, 2020-12-30 23:55:58, -80.80204, 27.217388, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102972, 2020-12-30 23:55:49, -80.80204, 27.21739, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102971, 2020-12-30 23:55:36, -80.80204, 27.217392, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102970, 2020-12-30 23:55:26, -80.80204, 27.217392, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102969, 2020-12-30 23:55:16, -80.80204, 27.217392, 252.22, 96.15, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102968, 2020-12-30 23:55:03, -80.80204, 27.217396, 252.01, 96.19, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102967, 2020-12-30 23:54:54, -80.80204, 27.217396, 252.01, 96.19, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102966, 2020-12-30 23:54:45, -80.802048, 27.217396, 252.01, 96.19, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102965, 2020-12-30 23:54:32, -80.802048, 27.217396, 252.01, 96.19, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102964, 2020-12-30 23:54:23, -80.802048, 27.217392, 252.01, 96.19, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102963, 2020-12-30 23:54:14, -80.802048, 27.217392, 252.01, 96.19, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102962, 2020-12-30 23:54:01, -80.802048, 27.217392, 252.01, 96.19, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102961, 2020-12-30 23:53:52, -80.80204, 27.217392, 252.01, 96.19, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102960, 2020-12-30 23:53:42, -80.80204, 27.217392, 252.01, 96.19, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102959, 2020-12-30 23:53:29, -80.80204, 27.217392, 252.01, 96.19, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102958, 2020-12-30 23:53:20, -80.802048, 27.217392, 252.01, 96.19, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102957, 2020-12-30 23:53:11, -80.802048, 27.21739, 252.01, 96.19, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102956, 2020-12-30 23:52:58, -80.80204, 27.217392, 252.01, 96.19, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102955, 2020-12-30 23:52:49, -80.80204, 27.21739, 252.01, 96.19, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
102954, 2020-12-30 23:52:40, -80.80204, 27.217388, 252.01, 96.19, 0.000, 0.000, 0.000, 607.66, 2189.17, 1181.09
