Id, GPSTimeStamp, Lon, Lat, O2 Concentration [micromolar], O2 Saturation [%], Bb(470) [NTU], Bb(532) [NTU], Bb(650) [NTU], CDOM [QSU], Chl. a [ppb], Phycocyanin [ppb]
187454, 2021-02-14 23:48:07, -80.726082, 26.977036, 263.12, 95.95, 24.947, 24.523, 30.082, 176.83, 14.82, 2.62
187453, 2021-02-14 23:33:08, -80.734001, 26.974651, 265.05, 96.92, 24.220, 24.037, 29.112, 179.07, 16.38, 2.40
187452, 2021-02-14 23:18:04, -80.743217, 26.973995, 266.92, 97.86, 23.494, 22.823, 27.656, 180.08, 18.02, 3.55
187451, 2021-02-14 23:03:06, -80.751015, 26.973696, 267.39, 98.09, 22.525, 22.095, 26.929, 182.13, 18.98, 3.51
187450, 2021-02-14 22:59:54, -80.752449, 26.973648, 267.1, 97.99, 22.525, 22.095, 26.686, 182.78, 20.05, 3.79
187449, 2021-02-14 22:59:32, -80.752625, 26.973644, 267.1, 97.99, 22.525, 22.095, 26.686, 182.78, 20.05, 3.79
187448, 2021-02-14 22:59:14, -80.752762, 26.973661, 267.1, 97.99, 22.525, 22.095, 26.686, 182.78, 20.05, 3.79
187447, 2021-02-14 22:58:53, -80.75293, 26.973633, 267.27, 98.04, 22.525, 22.095, 26.686, 182.62, 20.11, 3.59
187446, 2021-02-14 22:58:31, -80.75309, 26.973633, 267.27, 98.04, 22.525, 22.095, 26.686, 182.62, 20.11, 3.59
187445, 2021-02-14 22:58:09, -80.753235, 26.973658, 267.18, 98.03, 22.525, 22.095, 26.686, 181.69, 20.67, 3.38
187444, 2021-02-14 22:57:52, -80.753357, 26.973621, 267.18, 98.03, 22.525, 22.095, 26.686, 181.69, 20.67, 3.38
187443, 2021-02-14 22:57:30, -80.753517, 26.973623, 267.18, 98.03, 22.525, 22.095, 26.686, 181.69, 20.67, 3.38
187442, 2021-02-14 22:57:11, -80.753639, 26.97361, 267.43, 98.16, 22.283, 21.852, 26.686, 182.38, 19.77, 3.56
