Id, GPSTimeStamp, Lon, Lat, O2 Concentration [micromolar], O2 Saturation [%], Bb(470) [NTU], Bb(532) [NTU], Bb(650) [NTU], CDOM [QSU], Chl. a [ppb], Phycocyanin [ppb]
208666, 2021-02-27 23:59:44, -80.794449, 27.147663, 265.44, 101.71, 8.719, 8.498, 9.947, 242.17, 48.18, 11.46
208665, 2021-02-27 23:59:24, -80.794418, 27.147779, 264.72, 101.41, 8.961, 8.498, 10.189, 239.46, 50.02, 9.81
208664, 2021-02-27 23:59:00, -80.79438, 27.147911, 264.72, 101.41, 8.961, 8.498, 10.189, 239.46, 50.02, 9.81
208663, 2021-02-27 23:58:44, -80.794365, 27.148008, 264.72, 101.41, 8.961, 8.498, 10.189, 239.46, 50.02, 9.81
208662, 2021-02-27 23:58:22, -80.794312, 27.148132, 264.72, 101.41, 8.961, 8.498, 10.189, 239.46, 50.02, 9.81
208661, 2021-02-27 23:58:03, -80.794281, 27.148245, 265.51, 101.76, 8.961, 8.741, 10.432, 240.70, 46.90, 10.92
208660, 2021-02-27 23:57:41, -80.794228, 27.148371, 265.51, 101.76, 8.961, 8.741, 10.432, 240.70, 46.90, 10.92
208659, 2021-02-27 23:57:22, -80.794197, 27.148483, 265.51, 101.76, 8.961, 8.741, 10.432, 240.70, 46.90, 10.92
208658, 2021-02-27 23:57:02, -80.794144, 27.148603, 265.74, 101.85, 8.961, 8.741, 10.189, 241.05, 48.61, 11.00
208657, 2021-02-27 23:56:41, -80.794106, 27.148735, 265.74, 101.85, 8.961, 8.741, 10.189, 241.05, 48.61, 11.00
208656, 2021-02-27 23:56:21, -80.79406, 27.148848, 264.49, 101.28, 8.961, 8.741, 10.432, 240.80, 49.11, 10.34
208655, 2021-02-27 23:56:00, -80.793999, 27.148958, 264.49, 101.28, 8.961, 8.741, 10.432, 240.80, 49.11, 10.34
208654, 2021-02-27 23:55:40, -80.793968, 27.149073, 262.78, 100.53, 9.446, 8.984, 10.674, 237.14, 46.53, 10.55
208653, 2021-02-27 23:55:20, -80.793953, 27.149143, 262.78, 100.53, 9.446, 8.984, 10.674, 237.14, 46.53, 10.55
208652, 2021-02-27 23:54:59, -80.793915, 27.149261, 262.78, 100.53, 9.446, 8.984, 10.674, 237.14, 46.53, 10.55
208651, 2021-02-27 23:54:39, -80.793846, 27.149363, 262.76, 100.53, 9.446, 8.984, 10.917, 238.22, 48.05, 10.27
208650, 2021-02-27 23:54:19, -80.793831, 27.14946, 262.76, 100.53, 9.446, 8.984, 10.917, 238.22, 48.05, 10.27
208649, 2021-02-27 23:53:58, -80.793808, 27.149563, 262.62, 100.46, 9.446, 9.226, 10.917, 236.24, 46.55, 10.92
208648, 2021-02-27 23:53:38, -80.79377, 27.149675, 262.62, 100.46, 9.446, 9.226, 10.917, 236.24, 46.55, 10.92
208647, 2021-02-27 23:53:18, -80.793716, 27.149792, 262.62, 100.46, 9.446, 9.226, 10.917, 236.24, 46.55, 10.92
208646, 2021-02-27 23:52:57, -80.793671, 27.1499, 263.45, 100.85, 9.446, 8.984, 10.917, 236.54, 44.16, 10.85
208645, 2021-02-27 23:52:34, -80.79364, 27.150032, 263.45, 100.85, 9.446, 8.984, 10.917, 236.54, 44.16, 10.85
208644, 2021-02-27 23:52:15, -80.793617, 27.150131, 263.45, 100.85, 9.446, 8.984, 10.917, 236.54, 44.16, 10.85
208643, 2021-02-27 23:51:55, -80.793571, 27.150244, 264.35, 101.26, 9.446, 8.984, 10.917, 236.99, 45.81, 11.06
208642, 2021-02-27 23:51:34, -80.793526, 27.150364, 264.85, 101.5, 9.446, 9.226, 10.917, 235.98, 45.86, 11.06
208641, 2021-02-27 23:51:14, -80.793465, 27.150473, 264.85, 101.5, 9.446, 9.226, 10.917, 235.98, 45.86, 11.06
208640, 2021-02-27 23:50:54, -80.793457, 27.150597, 264.85, 101.5, 9.446, 9.226, 10.917, 235.98, 45.86, 11.06
208639, 2021-02-27 23:50:34, -80.793404, 27.1507, 263.36, 100.84, 9.688, 9.469, 11.160, 235.18, 45.75, 10.46
208638, 2021-02-27 23:50:13, -80.793381, 27.150791, 263.36, 100.84, 9.688, 9.469, 11.160, 235.18, 45.75, 10.46
208637, 2021-02-27 23:49:53, -80.79335, 27.150923, 263.36, 100.84, 9.688, 9.469, 11.160, 235.18, 45.75, 10.46
208636, 2021-02-27 23:49:33, -80.793312, 27.15102, 263.13, 100.75, 9.688, 9.469, 11.402, 235.15, 45.38, 10.72
208635, 2021-02-27 23:49:12, -80.793282, 27.151142, 263.13, 100.75, 9.688, 9.469, 11.402, 235.15, 45.38, 10.72
208634, 2021-02-27 23:48:51, -80.793198, 27.151249, 263.51, 100.92, 9.930, 9.469, 11.402, 234.80, 44.34, 10.17
208633, 2021-02-27 23:48:31, -80.793159, 27.151352, 263.51, 100.92, 9.930, 9.469, 11.402, 234.80, 44.34, 10.17
208632, 2021-02-27 23:48:11, -80.793129, 27.151468, 263.51, 100.92, 9.930, 9.469, 11.402, 234.80, 44.34, 10.17
208631, 2021-02-27 23:47:50, -80.793083, 27.151575, 262.65, 100.55, 9.930, 9.712, 11.645, 235.28, 44.52, 11.09
208630, 2021-02-27 23:47:30, -80.793007, 27.151678, 262.65, 100.55, 9.930, 9.712, 11.645, 235.28, 44.52, 11.09
208629, 2021-02-27 23:47:09, -80.792969, 27.151796, 262.65, 100.55, 9.930, 9.712, 11.645, 235.28, 44.52, 11.09
208628, 2021-02-27 23:46:49, -80.792931, 27.151911, 263.68, 101.03, 9.930, 9.712, 11.402, 232.99, 45.56, 10.91
208627, 2021-02-27 23:46:28, -80.792908, 27.152002, 264.8, 101.56, 9.930, 9.712, 11.402, 233.55, 46.19, 10.39
208626, 2021-02-27 23:46:28, -80.792908, 27.152002, 264.8, 101.56, 9.930, 9.712, 11.402, 233.55, 46.19, 10.39
208625, 2021-02-27 23:46:09, -80.792877, 27.152103, 264.8, 101.56, 9.930, 9.712, 11.402, 233.55, 46.19, 10.39
208624, 2021-02-27 23:45:48, -80.792847, 27.152208, 264.8, 101.56, 9.930, 9.712, 11.402, 233.55, 46.19, 10.39
208623, 2021-02-27 23:45:26, -80.792816, 27.152317, 266.62, 102.4, 9.930, 9.712, 11.645, 232.85, 48.13, 11.34
208622, 2021-02-27 23:45:07, -80.792816, 27.152422, 266.62, 102.4, 9.930, 9.712, 11.645, 232.85, 48.13, 11.34
208621, 2021-02-27 23:44:46, -80.792755, 27.152525, 266.62, 102.4, 9.930, 9.712, 11.645, 232.85, 48.13, 11.34
208620, 2021-02-27 23:44:26, -80.792732, 27.152632, 266.95, 102.55, 10.172, 9.712, 11.645, 233.00, 48.06, 11.09
208619, 2021-02-27 23:44:05, -80.792709, 27.152733, 266.41, 102.33, 10.172, 9.955, 11.887, 232.50, 47.46, 10.79
208618, 2021-02-27 23:43:45, -80.792664, 27.152828, 266.41, 102.33, 10.172, 9.955, 11.887, 232.50, 47.46, 10.79
208617, 2021-02-27 23:43:25, -80.792641, 27.152945, 266.41, 102.33, 10.172, 9.955, 11.887, 232.50, 47.46, 10.79
208616, 2021-02-27 23:43:04, -80.792595, 27.153036, 265.63, 101.97, 10.172, 9.955, 11.645, 231.65, 45.64, 10.55
208615, 2021-02-27 23:42:44, -80.792587, 27.153139, 265.63, 101.97, 10.172, 9.955, 11.645, 231.65, 45.64, 10.55
208614, 2021-02-27 23:42:23, -80.792557, 27.153248, 265.63, 101.97, 10.172, 9.955, 11.645, 231.65, 45.64, 10.55
208613, 2021-02-27 23:42:03, -80.792534, 27.153372, 265.94, 102.13, 10.172, 9.955, 11.887, 230.33, 45.97, 11.04
208612, 2021-02-27 23:41:42, -80.792473, 27.153488, 265.94, 102.13, 10.172, 9.955, 11.887, 230.33, 45.97, 11.04
208611, 2021-02-27 23:41:23, -80.792458, 27.153587, 267.01, 102.64, 10.415, 10.198, 11.887, 230.22, 46.81, 10.57
208610, 2021-02-27 23:41:02, -80.792412, 27.153711, 267.01, 102.64, 10.415, 10.198, 11.887, 230.22, 46.81, 10.57
208609, 2021-02-27 23:40:40, -80.792381, 27.153831, 267.01, 102.64, 10.415, 10.198, 11.887, 230.22, 46.81, 10.57
208608, 2021-02-27 23:40:21, -80.792343, 27.153933, 266.31, 102.38, 10.415, 10.198, 12.130, 228.04, 45.98, 10.76
208607, 2021-02-27 23:39:57, -80.79232, 27.154036, 266.31, 102.38, 10.415, 10.198, 12.130, 228.04, 45.98, 10.76
208606, 2021-02-27 23:39:41, -80.792305, 27.154116, 266.31, 102.38, 10.415, 10.198, 12.130, 228.04, 45.98, 10.76
208605, 2021-02-27 23:39:16, -80.792297, 27.154251, 263.24, 101.03, 10.657, 10.440, 12.373, 227.36, 42.33, 10.02
208604, 2021-02-27 23:38:59, -80.792229, 27.154348, 262.22, 100.59, 10.899, 10.440, 12.615, 225.84, 40.17, 10.50
208603, 2021-02-27 23:38:39, -80.792221, 27.154451, 262.22, 100.59, 10.899, 10.440, 12.615, 225.84, 40.17, 10.50
208602, 2021-02-27 23:38:19, -80.792191, 27.154552, 262.22, 100.59, 10.899, 10.440, 12.615, 225.84, 40.17, 10.50
208601, 2021-02-27 23:37:58, -80.79216, 27.154661, 262.62, 100.8, 10.899, 10.440, 12.615, 227.66, 42.50, 9.69
208600, 2021-02-27 23:37:38, -80.792137, 27.154772, 262.62, 100.8, 10.899, 10.440, 12.615, 227.66, 42.50, 9.69
208599, 2021-02-27 23:35:56, -80.791962, 27.155272, 262.89, 100.99, 11.141, 10.683, 12.858, 224.82, 40.71, 9.81
208598, 2021-02-27 23:35:35, -80.791931, 27.155373, 260.45, 99.94, 11.383, 10.926, 13.100, 223.25, 39.55, 9.64
208597, 2021-02-27 23:35:15, -80.791893, 27.155478, 260.45, 99.94, 11.383, 10.926, 13.100, 223.25, 39.55, 9.64
208596, 2021-02-27 23:34:54, -80.79184, 27.155577, 260.45, 99.94, 11.383, 10.926, 13.100, 223.25, 39.55, 9.64
208595, 2021-02-27 23:34:34, -80.791801, 27.155697, 261.21, 100.29, 11.383, 10.926, 13.100, 223.94, 40.84, 9.00
208594, 2021-02-27 23:34:13, -80.791771, 27.155804, 261.21, 100.29, 11.383, 10.926, 13.100, 223.94, 40.84, 9.00
208593, 2021-02-27 23:33:53, -80.791733, 27.155888, 261.49, 100.47, 11.383, 11.169, 13.343, 223.24, 39.14, 9.47
208592, 2021-02-27 23:33:33, -80.791702, 27.155964, 261.49, 100.47, 11.383, 11.169, 13.343, 223.24, 39.14, 9.47
208591, 2021-02-27 23:33:08, -80.791664, 27.156099, 261.49, 100.47, 11.383, 11.169, 13.343, 223.24, 39.14, 9.47
208590, 2021-02-27 23:32:51, -80.791641, 27.156199, 261.04, 100.32, 11.626, 11.169, 13.343, 223.33, 39.91, 10.06
208589, 2021-02-27 23:32:32, -80.791595, 27.156303, 261.04, 100.32, 11.626, 11.169, 13.343, 223.33, 39.91, 10.06
208588, 2021-02-27 23:32:11, -80.791573, 27.156416, 261.04, 100.32, 11.626, 11.169, 13.343, 223.33, 39.91, 10.06
208587, 2021-02-27 23:31:51, -80.791557, 27.156509, 261.3, 100.43, 11.626, 11.412, 13.343, 221.84, 41.06, 10.65
208586, 2021-02-27 23:31:30, -80.791512, 27.156612, 260.46, 100.09, 11.868, 11.412, 13.586, 223.31, 39.15, 9.95
208585, 2021-02-27 23:31:10, -80.791466, 27.156708, 260.46, 100.09, 11.868, 11.412, 13.586, 223.31, 39.15, 9.95
208584, 2021-02-27 23:30:49, -80.791451, 27.156818, 260.46, 100.09, 11.868, 11.412, 13.586, 223.31, 39.15, 9.95
208583, 2021-02-27 23:30:29, -80.791405, 27.156916, 259.93, 99.88, 11.868, 11.412, 13.828, 220.16, 37.90, 8.99
208582, 2021-02-27 23:30:08, -80.791351, 27.157017, 259.93, 99.88, 11.868, 11.412, 13.828, 220.16, 37.90, 8.99
208581, 2021-02-27 23:29:49, -80.791336, 27.157116, 259.93, 99.88, 11.868, 11.412, 13.828, 220.16, 37.90, 8.99
208580, 2021-02-27 23:29:28, -80.791298, 27.157211, 259.72, 99.83, 12.110, 11.654, 13.828, 220.82, 38.28, 9.57
208579, 2021-02-27 23:29:07, -80.791267, 27.157324, 259.72, 99.83, 12.110, 11.654, 13.828, 220.82, 38.28, 9.57
208578, 2021-02-27 23:28:47, -80.791222, 27.157412, 258.83, 99.52, 12.352, 11.897, 14.071, 219.11, 36.22, 8.44
208577, 2021-02-27 23:28:27, -80.791161, 27.15752, 258.83, 99.52, 12.352, 11.897, 14.071, 219.11, 36.22, 8.44
208576, 2021-02-27 23:28:06, -80.791138, 27.157623, 258.83, 99.52, 12.352, 11.897, 14.071, 219.11, 36.22, 8.44
208575, 2021-02-27 23:27:46, -80.791107, 27.157728, 257.01, 98.72, 12.352, 11.897, 14.313, 217.60, 34.39, 8.52
208574, 2021-02-27 23:27:25, -80.791061, 27.157831, 257.01, 98.72, 12.352, 11.897, 14.313, 217.60, 34.39, 8.52
208573, 2021-02-27 23:27:00, -80.791039, 27.157972, 257.01, 98.72, 12.352, 11.897, 14.313, 217.60, 34.39, 8.52
208572, 2021-02-27 23:26:45, -80.791, 27.158052, 255.86, 98.19, 12.594, 12.140, 14.799, 216.03, 33.78, 9.10
208571, 2021-02-27 23:26:24, -80.790977, 27.158171, 255.03, 97.85, 12.837, 12.383, 14.799, 216.27, 32.58, 8.63
208570, 2021-02-27 23:25:59, -80.790909, 27.158312, 255.03, 97.85, 12.837, 12.383, 14.799, 216.27, 32.58, 8.63
208569, 2021-02-27 23:25:43, -80.790878, 27.158419, 255.03, 97.85, 12.837, 12.383, 14.799, 216.27, 32.58, 8.63
208568, 2021-02-27 23:25:22, -80.790848, 27.158537, 253.65, 97.23, 13.079, 12.626, 15.041, 214.99, 31.58, 8.69
208567, 2021-02-27 23:25:02, -80.790825, 27.15863, 253.65, 97.23, 13.079, 12.626, 15.041, 214.99, 31.58, 8.69
208566, 2021-02-27 23:24:41, -80.790787, 27.158743, 253.65, 97.23, 13.079, 12.626, 15.041, 214.99, 31.58, 8.69
208565, 2021-02-27 23:24:22, -80.790749, 27.158855, 254.07, 97.48, 13.079, 12.626, 15.041, 213.33, 31.36, 8.01
208564, 2021-02-27 23:24:00, -80.790688, 27.158964, 254.16, 97.6, 13.079, 12.626, 15.284, 212.87, 32.13, 8.46
208563, 2021-02-27 23:23:40, -80.790665, 27.159092, 254.16, 97.6, 13.079, 12.626, 15.284, 212.87, 32.13, 8.46
208562, 2021-02-27 23:23:20, -80.790611, 27.159204, 254.16, 97.6, 13.079, 12.626, 15.284, 212.87, 32.13, 8.46
208561, 2021-02-27 23:23:00, -80.790573, 27.159311, 254.87, 97.97, 13.079, 12.626, 15.284, 213.06, 31.81, 8.18
208560, 2021-02-27 23:22:39, -80.79052, 27.159435, 254.87, 97.97, 13.079, 12.626, 15.284, 213.06, 31.81, 8.18
208559, 2021-02-27 23:22:14, -80.790474, 27.159563, 254.87, 97.97, 13.079, 12.626, 15.284, 213.06, 31.81, 8.18
208558, 2021-02-27 23:21:59, -80.790466, 27.159658, 255.03, 98.06, 13.321, 12.868, 15.284, 212.44, 31.77, 7.37
208557, 2021-02-27 23:21:38, -80.790405, 27.159773, 255.03, 98.06, 13.321, 12.868, 15.284, 212.44, 31.77, 7.37
208556, 2021-02-27 23:21:17, -80.790382, 27.159883, 254.51, 97.88, 13.321, 12.868, 15.526, 211.06, 31.53, 8.46
208555, 2021-02-27 23:20:58, -80.790344, 27.15999, 254.51, 97.88, 13.321, 12.868, 15.526, 211.06, 31.53, 8.46
208554, 2021-02-27 23:20:37, -80.790314, 27.160076, 254.51, 97.88, 13.321, 12.868, 15.526, 211.06, 31.53, 8.46
208553, 2021-02-27 23:20:16, -80.790276, 27.160192, 253.65, 97.49, 13.563, 13.111, 15.769, 210.59, 29.39, 8.13
208552, 2021-02-27 23:19:56, -80.79023, 27.160311, 253.65, 97.49, 13.563, 13.111, 15.769, 210.59, 29.39, 8.13
208551, 2021-02-27 23:19:36, -80.790192, 27.160421, 253.65, 97.49, 13.563, 13.111, 15.769, 210.59, 29.39, 8.13
208550, 2021-02-27 23:19:15, -80.790176, 27.160549, 251.35, 96.41, 13.563, 13.111, 15.769, 210.11, 29.25, 7.87
208549, 2021-02-27 23:18:55, -80.790123, 27.160652, 250.3, 95.97, 13.805, 13.354, 16.012, 209.29, 28.21, 6.97
208548, 2021-02-27 23:18:34, -80.79007, 27.160778, 250.3, 95.97, 13.805, 13.354, 16.012, 209.29, 28.21, 6.97
208547, 2021-02-27 23:18:14, -80.790047, 27.160891, 250.3, 95.97, 13.805, 13.354, 16.012, 209.29, 28.21, 6.97
208546, 2021-02-27 23:17:47, -80.790001, 27.161039, 248.69, 95.27, 14.048, 13.354, 16.254, 208.40, 26.76, 6.97
208545, 2021-02-27 23:17:33, -80.789963, 27.161121, 248.69, 95.27, 14.048, 13.354, 16.254, 208.40, 26.76, 6.97
