Id, GPSTimeStamp, Lon, Lat, O2 Concentration [micromolar], O2 Saturation [%], Bb(470) [NTU], Bb(532) [NTU], Bb(650) [NTU], CDOM [QSU], Chl. a [ppb], Phycocyanin [ppb]
129871, 2021-01-06 23:59:46, -80.952576, 26.964989, 282.64, 98.25, 21.314, 22.580, 26.201, 204.86, 19.76, 6.04
129870, 2021-01-06 23:59:34, -80.952568, 26.964985, 282.64, 98.25, 21.314, 22.580, 26.201, 204.86, 19.76, 6.04
129869, 2021-01-06 23:59:21, -80.95256, 26.964979, 282.64, 98.25, 21.314, 22.580, 26.201, 204.86, 19.76, 6.04
129868, 2021-01-06 23:59:04, -80.952553, 26.964977, 282.64, 98.25, 21.314, 22.580, 26.201, 204.86, 19.76, 6.04
129867, 2021-01-06 23:58:56, -80.952553, 26.964977, 282.48, 98.19, 21.314, 22.580, 26.443, 206.48, 23.51, 6.95
129866, 2021-01-06 23:58:44, -80.952545, 26.964977, 282.48, 98.19, 21.314, 22.580, 26.443, 206.48, 23.51, 6.95
129865, 2021-01-06 23:58:31, -80.952545, 26.964979, 283.53, 98.61, 21.314, 22.823, 26.443, 205.22, 21.41, 7.17
129864, 2021-01-06 23:58:20, -80.952545, 26.964979, 283.53, 98.61, 21.314, 22.823, 26.443, 205.22, 21.41, 7.17
129863, 2021-01-06 23:58:07, -80.952545, 26.964975, 283.53, 98.61, 21.314, 22.823, 26.443, 205.22, 21.41, 7.17
129862, 2021-01-06 23:57:59, -80.952545, 26.964975, 283.53, 98.61, 21.314, 22.823, 26.443, 205.22, 21.41, 7.17
129861, 2021-01-06 23:51:45, -80.952698, 26.965096, 283.98, 98.89, 21.314, 22.338, 26.201, 205.28, 19.88, 6.52
129860, 2021-01-06 23:51:32, -80.952698, 26.965097, 283.94, 98.95, 21.071, 22.095, 25.958, 204.83, 23.17, 24.89
129859, 2021-01-06 23:51:20, -80.95269, 26.965099, 283.94, 98.95, 21.071, 22.095, 25.958, 204.83, 23.17, 24.89
129858, 2021-01-06 23:51:08, -80.952682, 26.965097, 283.94, 98.95, 21.071, 22.095, 25.958, 204.83, 23.17, 24.89
129857, 2021-01-06 23:50:56, -80.952682, 26.965096, 284.09, 98.98, 21.071, 22.095, 25.716, 205.39, 23.50, 10.06
129856, 2021-01-06 23:50:47, -80.952675, 26.965097, 284.09, 98.98, 21.071, 22.095, 25.716, 205.39, 23.50, 10.06
129855, 2021-01-06 23:50:03, -80.952675, 26.965113, 284.25, 99.01, 20.829, 21.852, 25.473, 206.29, 20.41, 6.65
129854, 2021-01-06 23:48:39, -80.952789, 26.9652, 283.63, 98.73, 21.314, 22.580, 25.958, 204.80, 20.40, 6.97
129853, 2021-01-06 23:48:29, -80.952805, 26.965212, 283.58, 98.67, 21.071, 22.338, 25.958, 205.05, 19.57, 7.08
129852, 2021-01-06 23:48:12, -80.952843, 26.965239, 283.58, 98.67, 21.071, 22.338, 25.958, 205.05, 19.57, 7.08
129851, 2021-01-06 23:48:04, -80.95285, 26.96525, 283.58, 98.67, 21.071, 22.338, 25.958, 205.05, 19.57, 7.08
129850, 2021-01-06 23:47:51, -80.952873, 26.965267, 283.58, 98.67, 21.071, 22.338, 25.958, 205.05, 19.57, 7.08
129849, 2021-01-06 23:47:39, -80.952896, 26.965284, 283.58, 98.67, 21.071, 22.338, 25.958, 205.05, 19.57, 7.08
129848, 2021-01-06 23:47:26, -80.952911, 26.965303, 284.01, 98.91, 21.314, 22.338, 26.201, 204.49, 19.65, 7.17
129847, 2021-01-06 23:47:14, -80.952934, 26.965317, 284.01, 98.91, 21.314, 22.338, 26.201, 204.49, 19.65, 7.17
129846, 2021-01-06 23:47:03, -80.95295, 26.96533, 284.01, 98.91, 21.314, 22.338, 26.201, 204.49, 19.65, 7.17
129845, 2021-01-06 23:46:50, -80.952988, 26.965347, 284.01, 98.91, 21.314, 22.338, 26.201, 204.49, 19.65, 7.17
129844, 2021-01-06 23:46:38, -80.953011, 26.965364, 284.01, 98.91, 21.314, 22.338, 26.201, 204.49, 19.65, 7.17
129843, 2021-01-06 23:46:25, -80.953041, 26.965384, 284.23, 99.08, 20.829, 22.095, 25.473, 205.84, 19.91, 6.21
129842, 2021-01-06 23:46:13, -80.953056, 26.965401, 284.23, 99.08, 20.829, 22.095, 25.473, 205.84, 19.91, 6.21
129841, 2021-01-06 23:46:01, -80.953079, 26.965416, 283.18, 98.52, 21.556, 22.580, 26.443, 203.61, 18.94, 7.02
129840, 2021-01-06 23:45:48, -80.953102, 26.965437, 283.18, 98.52, 21.556, 22.580, 26.443, 203.61, 18.94, 7.02
129839, 2021-01-06 23:45:36, -80.953117, 26.965452, 283.18, 98.52, 21.556, 22.580, 26.443, 203.61, 18.94, 7.02
129838, 2021-01-06 23:39:07, -80.953438, 26.965832, 286.39, 100.24, 20.829, 21.852, 25.230, 206.40, 20.27, 6.66
129837, 2021-01-06 23:38:54, -80.95343, 26.965832, 286.51, 100.32, 20.345, 21.366, 24.988, 205.33, 23.82, 7.42
129836, 2021-01-06 23:38:42, -80.953423, 26.965832, 286.51, 100.32, 20.345, 21.366, 24.988, 205.33, 23.82, 7.42
129835, 2021-01-06 23:38:30, -80.953415, 26.965832, , , , , , , , 
129834, 2021-01-06 23:38:30, -80.953415, 26.965832, 286.84, 100.44, 20.587, 21.609, 25.230, 204.77, 20.85, 8.33
129833, 2021-01-06 23:35:00, -80.953316, 26.965776, 286.91, 100.51, 20.587, 21.366, 25.230, 206.55, 19.70, 8.27
129832, 2021-01-06 23:35:45, -80.953339, 26.965809, 287.12, 10.61, 20.345, 21.366, -9.219, 205.53, 20.34, 8.01
129831, 2021-01-06 23:35:32, -80.953339, 26.965799, 287.12, 10.61, 20.345, 21.366, -9.219, 205.53, 20.34, 8.01
129830, 2021-01-06 23:35:20, -80.953331, 26.96579, 287.12, 10.61, 20.345, 21.366, -9.219, 205.53, 20.34, 8.01
129829, 2021-01-06 23:35:09, -80.953323, 26.965782, 287.12, 10.61, 20.345, 21.366, -9.219, 205.53, 20.34, 8.01
129828, 2021-01-06 23:34:56, -80.9533, 26.965773, 286.91, 100.51, 20.587, 21.366, 25.230, 206.55, 19.70, 8.27
129827, 2021-01-06 23:34:44, -80.953293, 26.965769, 286.91, 100.51, 20.587, 21.366, 25.230, 206.55, 19.70, 8.27
129826, 2021-01-06 23:34:32, -80.953293, 26.965763, 286.91, 100.51, 20.587, 21.366, 25.230, 206.55, 19.70, 8.27
129825, 2021-01-06 23:34:18, -80.953285, 26.965763, 286.91, 100.51, 20.587, 21.366, 25.230, 206.55, 19.70, 8.27
129824, 2021-01-06 23:34:06, -80.953285, 26.965763, 286.91, 100.51, 20.587, 21.366, 25.230, 206.55, 19.70, 8.27
129823, 2021-01-06 23:33:54, -80.953278, 26.965757, 286.81, 100.47, 20.587, 21.609, 24.988, 205.64, 20.01, 6.22
129822, 2021-01-06 23:33:41, -80.95327, 26.965755, 286.81, 100.47, 20.587, 21.609, 24.988, 205.64, 20.01, 6.22
129821, 2021-01-06 23:33:29, -80.953262, 26.965752, 287.37, 100.81, 20.345, 21.366, 25.230, 205.62, 20.31, 7.94
129820, 2021-01-06 23:33:17, -80.953262, 26.965748, 287.37, 100.81, 20.345, 21.366, 25.230, 205.62, 20.31, 7.94
129819, 2021-01-06 23:33:04, -80.953262, 26.965748, 287.37, 100.81, 20.345, 21.366, 25.230, 205.62, 20.31, 7.94
129818, 2021-01-06 23:32:51, -80.953255, 26.965748, 287.37, 100.81, 20.345, 21.366, 25.230, 205.62, 20.31, 7.94
