Id, GPSTimeStamp, Lon, Lat, O2 Concentration [micromolar], O2 Saturation [%], Bb(470) [NTU], Bb(532) [NTU], Bb(650) [NTU], CDOM [QSU], Chl. a [ppb], Phycocyanin [ppb]
149995, 2021-01-14 22:50:17, -80.796318, 27.222656, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149994, 2021-01-14 22:50:05, -80.796333, 27.22266, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149993, 2021-01-14 22:49:56, -80.796333, 27.222664, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149992, 2021-01-14 22:49:47, -80.796333, 27.222666, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149991, 2021-01-14 22:49:34, -80.796349, 27.222672, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149990, 2021-01-14 22:49:24, -80.796341, 27.222672, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149989, 2021-01-14 22:49:15, -80.796326, 27.222675, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149988, 2021-01-14 22:49:02, -80.796295, 27.22267, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149987, 2021-01-14 22:48:53, -80.796288, 27.222668, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149986, 2021-01-14 22:48:41, -80.796303, 27.222664, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149985, 2021-01-14 22:48:31, -80.796303, 27.222683, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149984, 2021-01-14 22:48:22, -80.796288, 27.2227, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149983, 2021-01-14 22:48:12, -80.79631, 27.222696, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149982, 2021-01-14 22:47:59, -80.796341, 27.222696, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149981, 2021-01-14 22:47:50, -80.796318, 27.2227, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149980, 2021-01-14 22:42:31, -80.796387, 27.222677, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149979, 2021-01-14 22:42:21, -80.796387, 27.222672, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149978, 2021-01-14 22:42:12, -80.796387, 27.222672, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149977, 2021-01-14 22:42:00, -80.796371, 27.222675, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149976, 2021-01-14 22:41:50, -80.796356, 27.222664, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149975, 2021-01-14 22:41:41, -80.796356, 27.22266, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149974, 2021-01-14 22:41:28, -80.796356, 27.222649, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149973, 2021-01-14 22:41:19, -80.796349, 27.222635, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149972, 2021-01-14 22:41:09, -80.796341, 27.222643, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149971, 2021-01-14 22:40:57, -80.796349, 27.222652, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149970, 2021-01-14 22:40:47, -80.796356, 27.222658, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149969, 2021-01-14 22:40:38, -80.796356, 27.22266, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149968, 2021-01-14 22:40:26, -80.796356, 27.22266, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149967, 2021-01-14 22:40:17, -80.796371, 27.222649, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149966, 2021-01-14 22:40:07, -80.796371, 27.222645, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149965, 2021-01-14 22:39:54, -80.796379, 27.222651, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149964, 2021-01-14 22:39:45, -80.796371, 27.222652, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149963, 2021-01-14 22:39:35, -80.796356, 27.222643, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149962, 2021-01-14 22:39:23, -80.796349, 27.222645, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149961, 2021-01-14 22:39:14, -80.796341, 27.222639, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149960, 2021-01-14 22:39:04, -80.796326, 27.222637, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149959, 2021-01-14 22:38:52, -80.796318, 27.222651, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149958, 2021-01-14 22:38:42, -80.796318, 27.222668, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149957, 2021-01-14 22:38:32, -80.796333, 27.222679, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149956, 2021-01-14 22:38:20, -80.796333, 27.222692, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149955, 2021-01-14 22:38:11, -80.796341, 27.222696, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149954, 2021-01-14 22:38:01, -80.796356, 27.222696, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149953, 2021-01-14 22:37:49, -80.796371, 27.222696, 267.55, 90.44, 0.000, 0.971, 0.000, 504.47, 79.62, 8.19
149952, 2021-01-14 22:32:33, -80.796371, 27.222668, 266.96, 90.19, 0.000, 1.457, 0.000, 504.47, 79.62, 8.19
149951, 2021-01-14 22:32:23, -80.796379, 27.222624, 266.96, 90.19, 0.000, 1.457, 0.000, 504.47, 79.62, 8.19
149950, 2021-01-14 22:32:11, -80.796371, 27.222601, 266.96, 90.19, 0.000, 1.457, 0.000, 504.47, 79.62, 8.19
149949, 2021-01-14 22:32:01, -80.796371, 27.222595, 266.96, 90.19, 0.000, 1.457, 0.000, 504.47, 79.62, 8.19
149948, 2021-01-14 22:31:51, -80.796349, 27.222612, 266.96, 90.19, 0.000, 1.457, 0.000, 504.47, 79.62, 8.19
149947, 2021-01-14 22:31:39, -80.796349, 27.222616, 266.7, 90.11, 0.000, 1.457, 0.000, 504.47, 79.62, 8.19
149946, 2021-01-14 22:31:30, -80.796371, 27.22262, 266.7, 90.11, 0.000, 1.457, 0.000, 504.47, 79.62, 8.19
149945, 2021-01-14 22:31:20, -80.796371, 27.222614, 266.7, 90.11, 0.000, 1.457, 0.000, 504.47, 79.62, 8.19
149944, 2021-01-14 22:31:08, -80.796371, 27.222612, 266.28, 90, 0.000, 1.700, 0.000, 504.47, 79.62, 8.19
149943, 2021-01-14 22:30:59, -80.796356, 27.22261, 266.28, 90, 0.000, 1.700, 0.000, 504.47, 79.62, 8.19
149942, 2021-01-14 22:30:49, -80.796371, 27.22261, 266.28, 90, 0.000, 1.700, 0.000, 504.47, 79.62, 8.19
149941, 2021-01-14 22:30:36, -80.796387, 27.222609, 266.28, 90, 0.000, 1.700, 0.000, 504.47, 79.62, 8.19
149940, 2021-01-14 22:30:27, -80.796387, 27.222603, 266.28, 90, 0.000, 1.700, 0.000, 504.47, 79.62, 8.19
149939, 2021-01-14 22:30:17, -80.796379, 27.222605, 266.28, 90, 0.000, 1.700, 0.000, 504.47, 79.62, 8.19
149938, 2021-01-14 22:30:05, -80.796379, 27.22262, 265.69, 89.84, 0.000, 1.942, 0.000, 504.47, 79.62, 8.19
149937, 2021-01-14 22:29:56, -80.796371, 27.222616, 265.69, 89.84, 0.000, 1.942, 0.000, 504.47, 79.62, 8.19
149936, 2021-01-14 22:29:47, -80.796371, 27.222616, 265.69, 89.84, 0.000, 1.942, 0.000, 504.47, 79.62, 8.19
149935, 2021-01-14 22:29:34, -80.796371, 27.222616, 265.69, 89.84, 0.000, 1.942, 0.000, 504.47, 79.62, 8.19
149934, 2021-01-14 22:29:24, -80.796356, 27.22261, 265.69, 89.84, 0.000, 1.942, 0.000, 504.47, 79.62, 8.19
149933, 2021-01-14 22:29:15, -80.796349, 27.222605, 265.69, 89.84, 0.000, 1.942, 0.000, 504.47, 79.62, 8.19
149932, 2021-01-14 22:29:03, -80.796341, 27.222595, 265.51, 89.8, 0.000, 2.185, 0.000, 504.47, 79.62, 8.19
149931, 2021-01-14 22:28:53, -80.796341, 27.222595, 265.51, 89.8, 0.000, 2.185, 0.000, 504.47, 79.62, 8.19
