Id, GPSTimeStamp, Lon, Lat, O2 Concentration [micromolar], O2 Saturation [%], Bb(470) [NTU], Bb(532) [NTU], Bb(650) [NTU], CDOM [QSU], Chl. a [ppb], Phycocyanin [ppb]
171777, 2021-01-30 23:55:22, -80.751076, 27.073732, 266.73, 90.73, 33.908, 36.177, 44.881, 168.69, 14.53, 4.97
171776, 2021-01-30 23:55:01, -80.750977, 27.073578, 266.86, 90.8, 33.666, 36.177, 44.639, 169.79, 15.05, 5.00
171775, 2021-01-30 23:54:20, -80.750801, 27.073296, 266.86, 90.8, 33.666, 36.177, 44.639, 169.79, 15.05, 5.00
171774, 2021-01-30 23:54:01, -80.750725, 27.073153, 266.98, 90.89, 33.424, 35.935, 44.639, 169.43, 15.18, 5.53
171773, 2021-01-30 23:53:24, -80.750618, 27.072889, 266.98, 90.89, 33.424, 35.935, 44.639, 169.43, 15.18, 5.53
171772, 2021-01-30 23:53:40, -80.750687, 27.072989, 266.98, 90.89, 33.424, 35.935, 44.639, 169.43, 15.18, 5.53
171771, 2021-01-30 23:53:19, -80.75061, 27.072847, 266.91, 90.89, 33.424, 35.935, 44.396, 168.62, 14.55, 5.60
171770, 2021-01-30 23:53:00, -80.750511, 27.072699, 266.91, 90.89, 33.424, 35.935, 44.396, 168.62, 14.55, 5.60
171769, 2021-01-30 23:52:38, -80.750427, 27.072512, 267.12, 90.99, 33.182, 35.692, 44.153, 169.31, 14.85, 5.94
171768, 2021-01-30 23:52:16, -80.750359, 27.072355, 267.12, 90.99, 33.182, 35.692, 44.153, 169.31, 14.85, 5.94
171767, 2021-01-30 23:51:58, -80.750282, 27.072208, 267.12, 90.99, 33.182, 35.692, 44.153, 169.31, 14.85, 5.94
171766, 2021-01-30 23:51:37, -80.750206, 27.072048, 267.02, 90.97, 32.697, 35.206, 43.426, 171.11, 15.59, 5.21
171765, 2021-01-30 23:51:16, -80.750122, 27.071903, 267.02, 90.97, 32.697, 35.206, 43.426, 171.11, 15.59, 5.21
171764, 2021-01-30 23:50:57, -80.750061, 27.071735, 267.02, 90.97, 32.697, 35.206, 43.426, 171.11, 15.59, 5.21
171763, 2021-01-30 23:40:23, -80.747513, 27.067167, 267.12, 91.06, 33.182, 35.692, 44.153, 169.43, 14.49, 4.88
171762, 2021-01-30 23:40:01, -80.747429, 27.066988, 267.08, 91.03, 33.424, 35.935, 44.639, 167.99, 14.30, 5.14
171761, 2021-01-30 23:39:41, -80.747322, 27.066853, 267.08, 91.03, 33.424, 35.935, 44.639, 167.99, 14.30, 5.14
171760, 2021-01-30 23:39:16, -80.747208, 27.065332, 267.08, 91.03, 33.424, 35.935, 44.639, 167.99, 14.30, 5.14
171759, 2021-01-30 23:39:01, -80.747154, 27.06654, 266.94, 91.01, 33.424, 35.935, 44.153, 168.93, 15.01, 5.23
171758, 2021-01-30 23:38:39, -80.747093, 27.066378, 266.94, 91.01, 33.424, 35.935, 44.153, 168.93, 15.01, 5.23
171757, 2021-01-30 23:38:24, -80.747047, 27.06625, 266.94, 91.01, 33.424, 35.935, 44.153, 168.93, 15.01, 5.23
171756, 2021-01-30 23:38:18, -80.747025, 27.066212, 266.94, 91.01, 33.424, 35.935, 44.153, 168.93, 15.01, 5.23
