Id, GPSTimeStamp, Lon, Lat, O2 Concentration [micromolar], O2 Saturation [%], Bb(470) [NTU], Bb(532) [NTU], Bb(650) [NTU], CDOM [QSU], Chl. a [ppb], Phycocyanin [ppb]
234120, 2021-03-14 23:59:53, -80.796448, 27.222733, 246.01, 92.45, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234119, 2021-03-14 23:59:50, -80.796448, 27.222733, 246.01, 92.45, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234118, 2021-03-14 23:59:43, -80.796455, 27.222731, 246.01, 92.45, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234117, 2021-03-14 23:59:40, -80.796455, 27.222729, 246.01, 92.45, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234116, 2021-03-14 23:59:32, -80.796455, 27.222729, 246.01, 92.45, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234115, 2021-03-14 23:59:29, -80.796455, 27.222725, 246.01, 92.45, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234114, 2021-03-14 23:59:22, -80.796455, 27.222725, 246.19, 92.5, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234113, 2021-03-14 23:59:19, -80.796455, 27.222721, 246.19, 92.5, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234112, 2021-03-14 23:59:12, -80.796463, 27.222721, 246.19, 92.5, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234111, 2021-03-14 23:59:09, -80.796463, 27.222721, 246.19, 92.5, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234110, 2021-03-14 23:59:01, -80.796463, 27.222719, 246.19, 92.5, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234109, 2021-03-14 23:58:58, -80.796463, 27.222719, 246.19, 92.5, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234108, 2021-03-14 23:58:51, -80.796463, 27.222725, 246.52, 92.64, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234107, 2021-03-14 23:58:48, -80.796463, 27.222725, 246.52, 92.64, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234106, 2021-03-14 23:58:41, -80.796463, 27.222725, 246.52, 92.64, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234105, 2021-03-14 23:58:38, -80.796463, 27.222721, 246.52, 92.64, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234104, 2021-03-14 23:58:30, -80.796471, 27.222721, 246.52, 92.64, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234103, 2021-03-14 23:58:27, -80.796471, 27.222717, 246.52, 92.64, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234102, 2021-03-14 23:58:18, -80.796471, 27.222712, 246.52, 92.64, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234101, 2021-03-14 23:58:11, -80.796463, 27.222712, 246.52, 92.64, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234100, 2021-03-14 23:58:01, -80.796463, 27.222715, 246.52, 92.64, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234099, 2021-03-14 23:57:58, -80.796463, 27.222715, 246.52, 92.64, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234098, 2021-03-14 23:57:50, -80.796463, 27.222717, 245.59, 92.46, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234097, 2021-03-14 23:57:47, -80.796463, 27.222717, 245.59, 92.46, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234096, 2021-03-14 23:57:40, -80.796463, 27.222717, 245.59, 92.46, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234095, 2021-03-14 23:57:37, -80.796463, 27.222717, 245.59, 92.46, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234094, 2021-03-14 23:57:30, -80.796463, 27.222719, 245.59, 92.46, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234093, 2021-03-14 23:57:27, -80.796463, 27.222719, 245.59, 92.46, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234092, 2021-03-14 23:57:19, -80.796463, 27.222717, 245.59, 92.46, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234091, 2021-03-14 23:57:16, -80.796463, 27.222717, 245.59, 92.46, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234090, 2021-03-14 23:57:09, -80.796463, 27.222717, 245.59, 92.46, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234089, 2021-03-14 23:57:06, -80.796463, 27.222715, 245.59, 92.46, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234088, 2021-03-14 23:56:59, -80.796463, 27.222717, 245.59, 92.46, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234087, 2021-03-14 23:56:56, -80.796463, 27.222717, 245.59, 92.46, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234086, 2021-03-14 23:56:48, -80.796463, 27.222715, 245.83, 92.54, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234085, 2021-03-14 23:56:45, -80.796463, 27.222715, 245.83, 92.54, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234084, 2021-03-14 23:56:39, -80.796463, 27.222715, 245.83, 92.54, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234083, 2021-03-14 23:56:33, -80.796463, 27.222717, 245.83, 92.54, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
234082, 2021-03-14 23:56:26, -80.796463, 27.222717, 245.83, 92.54, 0.000, 0.000, 0.000, -5.40, -16.34, -3.87
