Id, GPSTimeStamp, Lon, Lat, O2 Concentration [micromolar], O2 Saturation [%], Bb(470) [NTU], Bb(532) [NTU], Bb(650) [NTU], CDOM [QSU], Chl. a [ppb], Phycocyanin [ppb]
246998, 2021-03-19 22:46:51, -80.755302, 26.980429, 236.16, 89.77, 49.409, 50.745, 66.230, 111.31, 12.61, 6.56
246997, 2021-03-19 22:31:48, -80.763199, 26.977913, 235.92, 89.77, 47.714, 48.803, 63.561, 115.17, 15.25, 7.20
246996, 2021-03-19 22:15:56, -80.771713, 26.977732, 235.83, 89.87, 45.534, 46.375, 59.922, 120.06, 16.87, 7.20
246995, 2021-03-19 22:00:54, -80.780159, 26.978003, 235.84, 89.98, 43.838, 44.675, 57.496, 123.65, 18.24, 7.98
246994, 2021-03-19 21:45:51, -80.788307, 26.977724, 236.21, 90.21, 40.448, 40.791, 52.159, 131.92, 18.39, 7.59
246993, 2021-03-19 21:30:49, -80.798294, 26.976252, 235.96, 90.31, 37.057, 37.149, 47.065, 138.82, 19.82, 8.36
246992, 2021-03-19 21:15:46, -80.808083, 26.975365, 235.94, 90.48, 35.361, 35.206, 44.639, 143.87, 21.69, 9.59
246991, 2021-03-19 21:00:44, -80.818535, 26.97448, 235.29, 90.4, 34.877, 34.478, 43.668, 141.35, 19.97, 8.87
246990, 2021-03-19 20:45:39, -80.827614, 26.973965, 235.33, 90.59, 35.604, 35.449, 44.881, 138.22, 19.88, 9.21
246989, 2021-03-19 20:30:37, -80.83783, 26.972876, 234.88, 90.56, 38.510, 38.120, 48.520, 132.31, 16.75, 7.55
246988, 2021-03-19 20:15:34, -80.848, 26.972095, 235.19, 90.71, 41.174, 41.033, 52.402, 127.01, 14.70, 6.44
246987, 2021-03-19 20:00:31, -80.857712, 26.970919, 235.72, 91.02, 44.323, 44.433, 56.769, 121.13, 12.81, 5.95
246986, 2021-03-19 19:45:29, -80.866013, 26.97023, 236.3, 91.19, 47.471, 47.832, 61.135, 116.38, 11.32, 4.46
246985, 2021-03-19 19:30:26, -80.874168, 26.969667, 236.55, 91.2, 46.503, 46.618, 59.922, 118.90, 11.38, 4.05
246984, 2021-03-19 19:15:23, -80.882324, 26.969015, 237.65, 91.71, 43.112, 42.976, 54.828, 125.82, 10.83, 4.25
246983, 2021-03-19 19:00:21, -80.891891, 26.968328, 238.15, 92.01, 40.205, 40.062, 50.704, 129.64, 11.40, 4.82
246982, 2021-03-19 18:45:18, -80.899223, 26.967505, 238.8, 92.38, 36.572, 36.177, 45.852, 136.71, 11.01, 4.95
246981, 2021-03-19 18:30:15, -80.907166, 26.966948, 238.08, 91.9, 35.604, 35.449, 44.639, 137.68, 11.79, 4.57
246980, 2021-03-19 18:15:08, -80.915092, 26.966143, 238.39, 91.96, 33.908, 33.507, 42.213, 140.78, 12.83, 5.09
246979, 2021-03-19 17:59:21, -80.923393, 26.965651, 238.32, 92.04, 32.697, 32.050, 40.272, 139.87, 12.70, 5.59
246978, 2021-03-19 17:44:18, -80.93187, 26.964676, 238.23, 92.05, 30.760, 30.350, 38.331, 142.03, 13.77, 5.92
246977, 2021-03-19 18:32:17, -80.939011, 26.964209, 238.14, 92.13, 29.064, 28.408, 35.905, 146.73, 14.35, 5.56
246976, 2021-03-19 18:31:55, -80.939232, 26.964191, 238.14, 92.13, 29.064, 28.408, 35.905, 146.73, 14.35, 5.56
246975, 2021-03-19 18:31:35, -80.939438, 26.964199, 238.14, 92.13, 29.064, 28.408, 35.905, 146.73, 14.35, 5.56
246974, 2021-03-19 18:31:14, -80.939636, 26.964165, 238, 92.01, 29.064, 28.408, 35.662, 145.12, 13.93, 5.59
246973, 2021-03-19 18:30:54, -80.939835, 26.964125, 238, 92.01, 29.064, 28.408, 35.662, 145.12, 13.93, 5.59
246972, 2021-03-19 18:30:33, -80.940041, 26.964121, 238, 92.01, 29.064, 28.408, 35.662, 145.12, 13.93, 5.59
246971, 2021-03-19 18:30:12, -80.940269, 26.964109, 237.93, 91.94, 29.064, 28.651, 35.905, 145.03, 13.64, 5.10
246970, 2021-03-19 18:29:49, -80.940514, 26.964081, 238.11, 92.09, 28.822, 28.165, 35.420, 146.38, 14.21, 5.44
246969, 2021-03-19 18:29:31, -80.940727, 26.964088, 238.11, 92.09, 28.822, 28.165, 35.420, 146.38, 14.21, 5.44
246968, 2021-03-19 17:29:16, -80.940895, 26.96406, 238.11, 92.09, 28.822, 28.165, 35.420, 146.38, 14.21, 5.44
246967, 2021-03-19 18:29:11, -80.940941, 26.964048, 238.11, 92.09, 28.822, 28.165, 35.420, 146.38, 14.21, 5.44
246966, 2021-03-19 18:28:51, -80.941193, 26.964043, 238.03, 92.03, 29.064, 28.408, 35.420, 145.84, 13.73, 6.54
246965, 2021-03-19 18:28:01, -80.94175, 26.963987, 238.03, 92.03, 29.064, 28.408, 35.420, 145.84, 13.73, 6.54
246964, 2021-03-19 18:27:41, -80.941986, 26.963957, 238.26, 92.2, 29.064, 28.408, 35.420, 145.86, 14.31, 5.24
246963, 2021-03-19 18:27:20, -80.942223, 26.963928, 238.15, 92.14, 28.822, 28.408, 35.662, 146.23, 14.40, 4.71
246962, 2021-03-19 18:27:00, -80.942436, 26.96385, 238.15, 92.14, 28.822, 28.408, 35.662, 146.23, 14.40, 4.71
246961, 2021-03-19 18:26:40, -80.942673, 26.963797, 238.15, 92.14, 28.822, 28.408, 35.662, 146.23, 14.40, 4.71
246960, 2021-03-19 18:26:19, -80.942894, 26.963776, 238.32, 92.24, 28.822, 28.165, 35.420, 145.64, 14.82, 5.52
246959, 2021-03-19 18:25:58, -80.943092, 26.963732, 238.32, 92.24, 28.822, 28.165, 35.420, 145.64, 14.82, 5.52
246958, 2021-03-19 18:25:38, -80.943298, 26.963684, 238.32, 92.24, 28.822, 28.165, 35.420, 145.64, 14.82, 5.52
246957, 2021-03-19 18:25:13, -80.943504, 26.963671, 238.24, 92.29, 28.580, 28.165, 35.177, 146.18, 15.19, 5.12
246956, 2021-03-19 18:24:57, -80.943657, 26.963652, 238.23, 92.24, 28.822, 28.165, 35.420, 147.07, 15.58, 5.56
246955, 2021-03-19 18:24:36, -80.943855, 26.963608, 238.23, 92.24, 28.822, 28.165, 35.420, 147.07, 15.58, 5.56
246954, 2021-03-19 18:24:16, -80.944023, 26.963585, 238.23, 92.24, 28.822, 28.165, 35.420, 147.07, 15.58, 5.56
