Id, GPSTimeStamp, Lon, Lat, O2 Concentration [micromolar], O2 Saturation [%], Bb(470) [NTU], Bb(532) [NTU], Bb(650) [NTU], CDOM [QSU], Chl. a [ppb], Phycocyanin [ppb]
264809, 2021-03-30 23:59:44, -80.743896, 26.981236, 240.45, 94.51, 27.611, 26.223, 33.236, 138.92, 22.25, 4.72
264808, 2021-03-30 23:59:24, -80.743996, 26.981203, 240.61, 94.56, 27.611, 26.223, 32.994, 158.57, 20.64, 4.20
264807, 2021-03-30 23:59:03, -80.744118, 26.981161, 240.61, 94.56, 27.611, 26.223, 32.994, 158.57, 20.64, 4.20
264806, 2021-03-30 23:58:43, -80.744232, 26.981125, 240.61, 94.56, 27.611, 26.223, 32.994, 158.57, 20.64, 4.20
264805, 2021-03-30 23:58:22, -80.744385, 26.98107, 239.66, 94.16, 27.853, 26.465, 33.236, 156.60, 21.83, 5.65
264804, 2021-03-30 23:58:02, -80.744492, 26.981035, 239.69, 94.18, 27.369, 25.980, 32.751, 156.29, 20.93, 5.09
264803, 2021-03-30 23:57:41, -80.744606, 26.981003, 239.69, 94.18, 27.369, 25.980, 32.751, 156.29, 20.93, 5.09
264802, 2021-03-30 23:57:21, -80.744736, 26.980944, 239.69, 94.18, 27.369, 25.980, 32.751, 156.29, 20.93, 5.09
264801, 2021-03-30 23:57:01, -80.744865, 26.980915, 239.69, 94.18, 27.369, 25.980, 32.751, 156.29, 20.93, 5.09
264800, 2021-03-30 23:56:40, -80.745018, 26.980867, 239.69, 94.18, 27.369, 25.980, 32.751, 156.29, 20.93, 5.09
264799, 2021-03-30 23:56:20, -80.745148, 26.98081, 240.15, 94.4, 27.369, 26.223, 32.751, 158.02, 20.71, 5.19
264798, 2021-03-30 23:55:59, -80.745232, 26.980782, 240.15, 94.4, 27.369, 26.223, 32.751, 158.02, 20.71, 5.19
264797, 2021-03-30 22:55:24, -80.745453, 26.980707, 240.49, 94.55, 27.611, 26.223, 33.236, 157.73, 21.43, 5.91
264796, 2021-03-30 23:55:36, -80.745377, 26.980736, 240.15, 94.4, 27.369, 26.223, 32.751, 158.02, 20.71, 5.19
264795, 2021-03-30 23:55:15, -80.745529, 26.980703, 240.49, 94.55, 27.611, 26.223, 33.236, 157.73, 21.43, 5.91
264794, 2021-03-30 23:47:35, -80.745293, 26.981529, 240.91, 94.79, 27.127, 25.737, 32.508, 158.38, 21.87, 5.75
264793, 2021-03-30 23:47:16, -80.745285, 26.981548, 241.07, 94.87, 27.369, 25.737, 32.751, 159.50, 22.35, 4.79
264792, 2021-03-30 23:46:55, -80.745277, 26.981644, 241.07, 94.87, 27.369, 25.737, 32.751, 159.50, 22.35, 4.79
264791, 2021-03-30 23:46:34, -80.74527, 26.981676, 241.07, 94.87, 27.369, 25.737, 32.751, 159.50, 22.35, 4.79
264790, 2021-03-30 23:42:54, -80.745285, 26.982763, 241.34, 94.97, 27.127, 25.737, 32.508, 158.29, 25.89, 6.44
264789, 2021-03-30 23:42:33, -80.7453, 26.982752, 241.34, 94.97, 27.127, 25.737, 32.508, 158.29, 25.89, 6.44
264788, 2021-03-30 23:42:13, -80.745392, 26.982721, 241.22, 94.92, 27.127, 25.737, 32.266, 158.87, 20.97, 5.84
264787, 2021-03-30 23:41:49, -80.74556, 26.98267, 241.22, 94.92, 27.127, 25.737, 32.266, 158.87, 20.97, 5.84
264786, 2021-03-30 23:41:31, -80.745682, 26.982639, 241.22, 94.92, 27.127, 25.737, 32.266, 158.87, 20.97, 5.84
264785, 2021-03-30 23:41:12, -80.745811, 26.982588, 240.74, 94.71, 27.127, 25.737, 32.508, 157.69, 22.40, 6.00
264784, 2021-03-30 23:40:51, -80.745956, 26.982542, 240.74, 94.71, 27.127, 25.737, 32.508, 157.69, 22.40, 6.00
264783, 2021-03-30 22:40:28, -80.746094, 26.982496, 240.45, 94.6, 27.369, 25.980, 32.751, 157.82, 21.32, 5.27
264782, 2021-03-30 23:40:31, -80.746078, 26.982498, 240.74, 94.71, 27.127, 25.737, 32.508, 157.69, 22.40, 6.00
264781, 2021-03-30 23:40:10, -80.746201, 26.982449, 240.45, 94.6, 27.369, 25.980, 32.751, 157.82, 21.32, 5.27
264780, 2021-03-30 23:39:50, -80.746346, 26.982409, 240.57, 94.66, 26.884, 25.494, 32.023, 159.67, 21.56, 5.62
264779, 2021-03-30 23:39:29, -80.746468, 26.982344, 240.57, 94.66, 26.884, 25.494, 32.023, 159.67, 21.56, 5.62
264778, 2021-03-30 23:39:09, -80.746597, 26.982307, 240.57, 94.66, 26.884, 25.494, 32.023, 159.67, 21.56, 5.62
264777, 2021-03-30 23:38:49, -80.746735, 26.982285, 240.67, 94.71, 26.884, 25.494, 32.023, 159.59, 22.10, 6.14
264776, 2021-03-30 23:38:28, -80.746857, 26.982224, 240.67, 94.71, 26.884, 25.494, 32.023, 159.59, 22.10, 6.14
264775, 2021-03-30 23:38:07, -80.746994, 26.982191, 240.67, 94.71, 26.884, 25.494, 32.023, 159.59, 22.10, 6.14
264774, 2021-03-30 23:37:47, -80.747139, 26.982164, 240.97, 94.83, 26.642, 25.251, 31.781, 160.10, 22.48, 6.71
264773, 2021-03-30 23:37:26, -80.747269, 26.982128, 240.97, 94.83, 26.642, 25.251, 31.781, 160.10, 22.48, 6.71
