# Data for the following 1 site(s) are contained in this file
#    USGS 02257000 FISHEATING CREEK AT LAKEPORT, FL
#    USGS 02258800 INDIAN PRAIRIE CANAL AB PUMP STA NR OKEECHOBEE, FL
#    USGS 02257790 HARNEY POND CANAL ABOVE S-71 NR LAKEPORT, FL
# -----------------------------------------------------------------------------------
#
# Data provided for site 02257000
#            TS   parameter     statistic     Description
#         23149       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	date	discharge	flag
USGS	02257000	2021-05-21	12.5	P
USGS	02257000	2021-05-22	14.3	P
USGS	02257000	2021-05-23	11.8	P
USGS	02257000	2021-05-24	22.8	P
USGS	02257000	2021-05-25	15.2	P
USGS	02257000	2021-05-26	16.9	P
USGS	02257000	2021-05-27	16.3	P
USGS	02257000	2021-05-28	24.6	P
USGS	02257000	2021-05-29	18.3	P
USGS	02257000	2021-05-30	11.9	P
USGS	02257000	2021-05-31	2.44	P
USGS	02257000	2021-06-01	14.8	P
USGS	02257000	2021-06-02	12.5	P
USGS	02257000	2021-06-03	13.2	P

USGS	02258800	2021-05-21	66.7	P
USGS	02258800	2021-05-22	47.4	P
USGS	02258800	2021-05-23	50.5	P
USGS	02258800	2021-05-24	55.8	P
USGS	02258800	2021-05-25	99.4	P
USGS	02258800	2021-05-26	94.4	P
USGS	02258800	2021-05-27	70.3	P
USGS	02258800	2021-05-28	97.4	P
USGS	02258800	2021-05-29	88.1	P
USGS	02258800	2021-05-30	64.9	P
USGS	02258800	2021-05-31	103		P
USGS	02258800	2021-06-01	63.1	P
USGS	02258800	2021-06-02	57.4	P
USGS	02258800	2021-06-03	60.0	P

USGS	02257790	2021-05-21	110		P
USGS	02257790	2021-05-22	101		P
USGS	02257790	2021-05-23	112		P
USGS	02257790	2021-05-24	96.3	P
USGS	02257790	2021-05-25	117		P
USGS	02257790	2021-05-26	79.4	P
USGS	02257790	2021-05-27	75.5	P
USGS	02257790	2021-05-28	99.3	P
USGS	02257790	2021-05-29	88.3	P
USGS	02257790	2021-05-30	82.9	P
USGS	02257790	2021-05-31	69.7	P
USGS	02257790	2021-06-01	92.5	P
USGS	02257790	2021-06-02	85.2	P
